Judge,Office,Total Dispositions,Tot,Decisions,Awards,Denials,Fully Favorable,Partially Favorable
"Walters, Charles",DALLAS NORTH,352,352,291,281,10,264,17
"Wheeler, Thomas J",DALLAS NORTH,218,265,171,75,96,49,26
"Anschuetz, Eric",DAYTON,315,315,232,114,118,104,10
"Butler, Larry J.",DAYTON,9,64,3,1,2,1,0
"Chaykin, Benjamin",DAYTON,354,354,294,135,159,114,21
"Hockensmith, Mark",DAYTON,371,371,315,121,194,114,7
"Kenyon, Gregory G",DAYTON,422,422,355,143,212,120,23
"Motta, Elizabeth A",DAYTON,292,292,249,121,128,102,19
"Dawson, Mark R",DENVER,464,464,362,192,170,173,19
"Day, Kelley",DENVER,394,394,316,157,159,109,48
"Denney, Debra J",DENVER,324,326,251,140,111,97,43
"Fortune, Lowell",DENVER,280,280,218,100,118,78,22
"Hartman, Patricia E",DENVER,351,351,282,137,145,85,52
"Heitz, Michael G",DENVER,67,67,58,25,33,19,6
"Hugar, Terrence",DENVER,298,298,230,95,135,74,21
"Inman, Thomas S",DENVER,337,337,253,129,124,114,15
"LaRiccia, Rebecca",DENVER,384,384,298,132,166,100,32
"Laub, Kathleen",DENVER,139,246,110,47,63,41,6
"Lawritson, Jon L",DENVER,321,321,221,135,86,118,17
"Lo Burgio, Nicholas J",DENVER,9,10,8,6,2,5,1
"Millington, Jennifer B",DENVER,331,331,271,161,110,129,32
"Simmons, Jennifer A",DENVER,308,308,260,134,126,131,3
"Stroup, Marsha",DENVER,210,238,178,132,46,120,12
"Barnes, Kevin R",DETROIT,3,3,2,1,1,1,0
"Burstein, Lauren G",DETROIT,231,231,175,95,80,75,20
"Foley, Rita E",DETROIT,18,18,9,9,0,7,2
"Gramenos, James N",DETROIT,178,178,143,106,37,99,7
"Gruenburg, Dawn M",DETROIT,321,379,274,196,78,159,37
"Guyton, Carol",DETROIT,290,290,241,116,125,87,29
"LaRoche Jr., Roy E",DETROIT,186,260,140,42,98,29,13
"Leventer, Jan",DETROIT,325,325,272,218,54,207,11
"Neumann, David F",DETROIT,120,381,100,55,45,52,3
"Rabaut, John J",DETROIT,28,28,8,7,1,5,2
"Revels, Ethel",DETROIT,58,58,55,14,41,10,4
"Tobin, Therese",DETROIT,99,99,79,41,38,35,6
"Turner, Joy",DETROIT,399,399,337,243,94,216,27
"VanderHeide, Jeanne M",DETROIT,371,371,319,224,95,176,48
"Weathers, Ena",DETROIT,319,319,261,104,157,78,26
"White-Simmons, Crystal L",DETROIT,161,161,124,52,72,36,16
"Banas, Edward J",DOVER,91,91,84,59,25,39,20
"Kurlander, William A",DOVER,287,287,230,87,143,74,13
"Lash, Jennifer M",DOVER,90,293,65,43,22,28,15
"Penca, Jack",DOVER,369,369,300,116,184,99,17
"Petraschuk, Stanley",DOVER,127,127,74,68,6,58,10
"Wishnoff, Howard",DOVER,24,179,21,12,9,11,1
"Zanotti, Barbara J",DOVER,94,270,81,29,52,14,15
"BEDE, JASPER J",ELKINS PARK,315,315,249,142,107,135,7
"Chain, Anne W",ELKINS PARK,274,274,206,88,118,61,27
"De Bernardis, Craig",ELKINS PARK,145,145,125,83,42,63,20
"Garrett, James",ELKINS PARK,269,269,213,196,17,179,17
"Garrety, Paula",ELKINS PARK,301,414,246,113,133,84,29
"Gehring, John F",ELKINS PARK,307,307,250,209,41,197,12
"Hoback, Ryan",ELKINS PARK,310,310,246,101,145,88,13
"Mande, Deborah",ELKINS PARK,427,427,341,196,145,166,30
"Marku, Jay",ELKINS PARK,452,452,338,157,181,140,17
"McAneney, Vivian",ELKINS PARK,202,202,97,65,32,50,15
"Oliver, Henry",ELKINS PARK,347,347,264,236,28,227,9
"Rodriguez, Michael A",ELKINS PARK,3,88,1,0,1,0,0
"Rubini, Daniel L",ELKINS PARK,49,49,28,16,12,15,1
"Schwarz, Eric",ELKINS PARK,371,371,293,200,93,188,12
"Spector, Jennifer",ELKINS PARK,189,318,149,75,74,40,35
"Strauss, Suanne S",ELKINS PARK,402,402,301,206,95,193,13
"Yatron, George C",ELKINS PARK,449,449,357,183,174,155,28
"De Monbreum, Steven A",EUGENE,96,208,62,31,31,23,8
"Hobbs, B.",EUGENE,12,342,8,3,5,3,0
"Karlin, Alex S",EUGENE,98,98,82,26,56,17,9
"Mauer, Marilyn S.",EUGENE,2,283,1,0,1,0,0
"Michaelsen, John",EUGENE,341,372,260,109,151,90,19
"Neiswanger, Ted W",EUGENE,263,263,210,134,76,103,31
"Rauenzahn, MaryKay",EUGENE,189,189,155,102,53,89,13
"Spaulding, Robert F",EUGENE,248,248,201,112,89,90,22
"Watson, Elizabeth",EUGENE,76,339,52,33,19,26,7
"Weatherly, Katherine",EUGENE,337,337,275,125,150,103,22
"Asbille, Robert C",EVANSTON,407,407,348,256,92,236,20
"Bassett, Lovert F",EVANSTON,424,424,355,269,86,249,20
"Bretthauer, Cynthia M",EVANSTON,277,277,225,132,93,99,33
"Dadabo, Daniel",EVANSTON,291,291,256,139,117,130,9
"Halperin, Linda S",EVANSTON,219,219,173,129,44,123,6
"Inouye, Jessica",EVANSTON,338,338,270,131,139,106,25
"Johnson, Lana",EVANSTON,208,208,185,107,78,80,27
"Johnson, Matthew",EVANSTON,18,195,16,9,7,9,0
"Kendall, Patricia",EVANSTON,258,258,209,123,86,75,48
"Lewin, Lee",EVANSTON,295,295,245,147,98,134,13
"Michaelson, Shirley M",EVANSTON,304,304,242,175,67,151,24
"Miller, Barry A",EVANSTON,109,109,86,65,21,57,8
"Plunkett, Kevin",EVANSTON,162,252,138,62,76,47,15
"Wascher, James D",EVANSTON,125,143,106,68,38,55,13
"Janney, Stuart T",EVANSVILLE,312,312,246,132,114,111,21
"Martin, Kevin R",EVANSVILLE,378,378,311,169,142,150,19
"Onderak, Matthias D",EVANSVILLE,346,346,288,131,157,121,10
"Scurry, Michael",EVANSVILLE,377,377,297,165,132,150,15
"Yoder, Jason R",EVANSVILLE,389,389,323,176,147,141,35
"Ambuehl, Christel",FARGO,417,417,358,179,179,136,43
"Busick, Denzel R",FARGO,475,475,415,303,112,267,36
"Larsen, Hallie E",FARGO,414,414,329,134,195,95,39
"Olson, Lyle",FARGO,154,154,118,61,57,53,8
"Rosten, Brenda",FARGO,233,233,193,125,68,98,27
"Booth III, Joseph",FAYETTEVILLE NC,28,28,20,9,11,8,1
"Borda, Eric W",FAYETTEVILLE NC,392,392,318,239,79,210,29
"Brockington, Gary",FAYETTEVILLE NC,57,342,54,15,39,13,2
"Dorman, Clint",FAYETTEVILLE NC,21,21,17,10,7,10,0
"Huggins, Randall D",FAYETTEVILLE NC,8,369,8,6,2,6,0
"Miller, Larry A",FAYETTEVILLE NC,1,400,0,0,0,0,0
"Ofori-Acquaah, Anne-Mar A",FAYETTEVILLE NC,92,353,81,28,53,22,6
"Stone, Margo",FAYETTEVILLE NC,27,27,23,18,5,15,3
"Thawley, John A",FAYETTEVILLE NC,302,302,233,162,71,147,15
"Thompson, Michelle",FAYETTEVILLE NC,11,390,7,7,0,7,0
"Vinson, Flora L",FAYETTEVILLE NC,18,18,11,6,5,6,0
"Williams, James E",FAYETTEVILLE NC,10,361,5,2,3,2,0
"Willis, Christopher",FAYETTEVILLE NC,389,389,331,160,171,131,29
"Ziercher, Mark C",FAYETTEVILLE NC,219,219,189,60,129,45,15
"Adamczyk, Joanne E",FLINT,244,244,213,169,44,150,19
"Dunn, Michael R",FLINT,379,379,312,196,116,139,57
"Fallis, Kevin W",FLINT,219,219,188,82,106,48,34
"Ransom, John A",FLINT,76,76,70,57,13,56,1
"Sloss, Andrew G",FLINT,346,346,285,121,164,104,17
"Sobrino, Regina",FLINT,364,364,321,239,82,144,95
"Digby, Patrick R.",FLORENCE,256,256,214,73,141,70,3
"Green, Gloria W",FLORENCE,469,469,400,256,144,244,12
"Kinnell, Tresie",FLORENCE,55,160,38,17,21,16,1
"Naylor, Amy H",FLORENCE,65,171,59,35,24,33,2
"Richey, Mallette",FLORENCE,315,315,259,146,113,143,3
"Stout, Randall C.",FLORENCE,218,218,160,54,106,49,5
"Weaver, Cynthia G",FLORENCE,359,359,250,61,189,50,11
"Williams, Lori J",FLORENCE,383,383,315,155,160,143,12
"Wright, Douglas A",FLORENCE,322,323,264,211,53,203,8
"Andrews - Turner, Renee S",FORT MYERS FL,4,360,1,0,1,0,0
"Butler, Larry J.",FORT MYERS FL,55,64,49,16,33,13,3
"Evans, III, George L",FORT MYERS FL,5,274,4,3,1,3,0
"Northington, Maria C",FORT MYERS FL,306,306,251,169,82,144,25
"Reamon, William G",FORT MYERS FL,414,414,340,163,177,148,15
"Taylor, William F",FORT MYERS FL,252,470,206,161,45,145,16
"Thompson, Michelle",FORT MYERS FL,8,390,8,3,5,3,0
"Whitaker, T.",FORT MYERS FL,280,280,223,117,106,93,24
"Young, Duane D",FORT MYERS FL,85,168,53,41,12,40,1
"Burton, Ronald L",FORT SMITH,453,453,395,314,81,272,42
"Davis, Harold D",FORT SMITH,428,428,369,212,157,209,3
"Jones, Bill",FORT SMITH,374,374,335,169,166,155,14
"Murdock, Alexis",FORT SMITH,312,312,277,183,94,173,10
"Neel, Glenn A",FORT SMITH,363,363,325,217,108,182,35
"Shilling, Clifford",FORT SMITH,224,224,196,130,66,116,14
"Starr, Edward M",FORT SMITH,382,382,330,136,194,108,28
"Balutis, Daniel",FORT WAYNE,267,335,232,100,132,84,16
"Katich, Stephanie",FORT WAYNE,343,343,291,101,190,83,18
"Miller, Terry",FORT WAYNE,336,336,287,166,121,149,17
"Neary, Steven J",FORT WAYNE,167,167,141,95,46,88,7
"Pierson, William D",FORT WAYNE,358,358,286,153,133,140,13
"Stam, Yvonne K",FORT WAYNE,285,285,250,159,91,146,13
"Bowen, Carol K",FORT WORTH,343,343,305,146,159,128,18
"Dane, Dan",FORT WORTH,193,193,184,96,88,86,10
"Green, Herbert J",FORT WORTH,406,406,364,202,162,171,31
"Hamner, Darren",FORT WORTH,419,419,344,149,195,110,39
"Helsper, William H",FORT WORTH,384,384,322,133,189,113,20
"King, Ward D",FORT WORTH,350,350,302,100,202,75,25
"Marcy, Larry C",FORT WORTH,402,402,375,204,171,197,7
"Raines, Jack W",FORT WORTH,410,410,330,176,154,146,30
"Van Dyck, Christopher",FORT WORTH,378,378,315,150,165,132,18
"Daughtry, John R",FRANKLIN TN,401,401,349,233,116,212,21
"Garrison, Donald E",FRANKLIN TN,394,394,336,258,78,240,18
"Heath, Shannon H",FRANKLIN TN,315,315,257,87,170,75,12
"Lucas, Brian",FRANKLIN TN,290,290,247,125,122,119,6
"Morgan, Kerry",FRANKLIN TN,368,369,317,232,85,221,11
"Neuhoff, Elizabeth P",FRANKLIN TN,178,349,144,70,74,45,25
"Patterson, Troy M",FRANKLIN TN,353,353,299,171,128,163,8
"Reap, J. D",FRANKLIN TN,353,353,303,185,118,148,37
"Roberts, Linda Gail",FRANKLIN TN,394,394,338,205,133,191,14
"Turner, Marty S",FRANKLIN TN,462,462,391,210,181,159,51
"Cusker, John",FRESNO,159,261,131,49,82,42,7
"Floyd, Cynthia",FRESNO,313,313,266,106,160,83,23
"Fow, Paula",FRESNO,3,202,3,3,0,3,0
"Gill, Kevin",FRESNO,67,112,57,38,19,29,9
"Madsen, Sharon L",FRESNO,281,281,238,90,148,32,58
"Misenti, Vincent",FRESNO,344,344,266,104,162,93,11
"Pittman, Danny",FRESNO,228,228,178,94,84,86,8
"Snelling, Timothy S",FRESNO,54,342,37,14,23,6,8
"Stewart, Nancy M",FRESNO,14,369,11,4,7,3,1
"Walls, Kelly",FRESNO,9,316,9,2,7,1,1
"Alonso, Sylvia H",FT LAUDERDALE,29,29,14,9,5,6,3
"Anderson, Thurman",FT LAUDERDALE,332,332,236,153,83,145,8
"Andres, James",FT LAUDERDALE,418,418,317,172,145,153,19
"Brennan, Mary",FT LAUDERDALE,342,342,248,99,149,67,32
"Cyrus, Sarah",FT LAUDERDALE,413,413,302,163,139,157,6
"D'Alessio, Rossana L",FT LAUDERDALE,314,314,229,137,92,123,14
"Evans, M. D",FT LAUDERDALE,150,150,114,28,86,21,7
"Gill, Robert",FT LAUDERDALE,338,338,209,164,45,151,13
"Gordon, Tamia N",FT LAUDERDALE,5,223,0,0,0,0,0
"Herin, Jr., Walter C",FT LAUDERDALE,1,348,0,0,0,0,0
"Hunn, Wendy",FT LAUDERDALE,414,414,319,213,106,182,31
"Jarvis, Valencia",FT LAUDERDALE,326,326,225,56,169,30,26
"Kopicki, Michael J",FT LAUDERDALE,206,335,159,91,68,77,14
"Labrousse, Lissette",FT LAUDERDALE,19,19,14,6,8,3,3
"Leibowitz, Tracey B",FT LAUDERDALE,220,375,170,73,97,63,10
"Ortiz-Valero, Richard J",FT LAUDERDALE,343,352,231,140,91,129,11
"Palacios, Elizabeth C",FT LAUDERDALE,67,126,64,16,48,13,3
"Pasvantis, Denise",FT LAUDERDALE,343,343,260,139,121,122,17
"Perez-Gonzalez, Jose",FT LAUDERDALE,16,16,10,9,1,7,2
"Sprague, Jonathan",FT LAUDERDALE,205,349,152,86,66,80,6
"Spurlin, Robert",FT LAUDERDALE,398,398,290,220,70,202,18
"Thompson, Sherry D",FT LAUDERDALE,2,2,2,1,1,0,1
"Turner, Brian",FT LAUDERDALE,27,27,10,8,2,7,1
"Waitsman, Frederick R",FT LAUDERDALE,8,83,5,2,3,1,1
"Condon, Michael S",GRAND RAPIDS,384,384,308,137,171,107,30
"Grit, Donna J",GRAND RAPIDS,284,284,238,119,119,83,36
"Imsland, Lori",GRAND RAPIDS,64,283,56,25,31,21,4
"Kurtz, David",GRAND RAPIDS,11,11,8,6,2,5,1
"Ohanesian, Nicholas M",GRAND RAPIDS,369,369,296,166,130,152,14
"Prothro, James F",GRAND RAPIDS,404,404,308,87,221,49,38
"Smith, Steven C",GRAND RAPIDS,124,124,110,95,15,83,12
"Brock, Nancy L",GREENSBORO,334,334,287,140,147,113,27
"Cavadi, Michelle D",GREENSBORO,287,297,245,118,127,87,31
"Evans, Helen O",GREENSBORO,230,230,206,125,81,112,13
"Firestone, Scott C",GREENSBORO,159,159,134,85,49,79,6
"Graham, E. Norman",GREENSBORO,277,277,235,203,32,197,6
"Jackson, Richard",GREENSBORO,193,193,169,91,78,82,9
"Johnson, Frederick",GREENSBORO,202,202,166,109,57,75,34
"Seidman, Marc",GREENSBORO,139,139,113,73,40,69,4
"Stein, Daniel J",GREENSBORO,316,316,286,205,81,168,37
"Williams, Paul T",GREENSBORO,1,1,1,1,0,1,0
"Wordsworth, Paula",GREENSBORO,322,322,290,194,96,149,45
"Chambers, Henry H.",GREENVILLE,284,284,239,186,53,176,10
"Fritz, Colin",GREENVILLE,315,315,261,111,150,97,14
"Hess, Thaddeus J",GREENVILLE,374,374,311,186,125,175,11
"Jordan, Alice",GREENVILLE,277,277,230,119,111,112,7
"Martin, James M",GREENVILLE,312,316,277,140,137,132,8
"McHenry III, James R",GREENVILLE,162,309,138,62,76,50,12
"Paschall, Ann G.",GREENVILLE,404,404,360,227,133,197,30
"Peace, Jerry W",GREENVILLE,331,331,286,98,188,93,5
"Petri, J.",GREENVILLE,367,367,311,138,173,122,16
"Stewart, Sarah B",GREENVILLE,272,272,240,178,62,170,8
"Walter, Nicholas",GREENVILLE,294,294,257,139,118,133,6
"Wilson, Gregory M.",GREENVILLE,253,253,204,79,125,74,5
"Bridges, Charles",HARRISBURG,161,161,115,99,16,95,4
"Burock, Theodore",HARRISBURG,267,267,204,125,79,113,12
"Cutter, Patrick S",HARRISBURG,289,289,210,128,82,125,3
"Guida, Richard E",HARRISBURG,247,446,194,60,134,42,18
"Myers, Daniel",HARRISBURG,111,269,91,48,43,36,12
"Neary, Lawrence J",HARRISBURG,358,385,284,157,127,144,13
"Riley, Randy",HARRISBURG,386,386,289,113,176,105,8
"Staller, Scott M",HARRISBURG,408,408,315,135,180,116,19
"Torres, Susan L",HARRISBURG,153,288,109,50,59,42,8
"Train, Peter V",HARRISBURG,386,386,292,173,119,158,15
"Zanotto, Sharon",HARRISBURG,243,243,163,84,79,61,23
"Aletta, John",HARTFORD,39,39,32,17,15,13,4
"Alger, Ryan A",HARTFORD,240,240,190,92,98,82,10
"Bonsangue, Louis",HARTFORD,264,264,221,85,136,66,19
"Borre, Alexander P",HARTFORD,314,314,249,106,143,63,43
"Noel, John",HARTFORD,296,296,247,73,174,48,25
"Sweeney, Edward F",HARTFORD,335,335,274,118,156,106,12
"Zwecker, Bruce H",HARTFORD,73,73,65,36,29,34,2
"Benedict, David",HATTIESBURG,487,487,384,171,213,138,33
"Burkes, Felicia D",HATTIESBURG,165,165,142,21,121,18,3
"Fraiser, Jim",HATTIESBURG,366,366,283,112,171,95,17
"Gilmer, Douglas",HATTIESBURG,338,338,286,158,128,152,6
"Harbart, Michael D",HATTIESBURG,152,152,129,24,105,18,6
"Pearce, Charles C",HATTIESBURG,357,357,301,146,155,107,39
"Porciello, Laurie H",HATTIESBURG,400,400,320,93,227,48,45
"Sullivan, Margaret M",HATTIESBURG,30,30,15,8,7,7,1
"Williams, Lanier",HATTIESBURG,406,406,315,84,231,66,18
"Wright, Douglas A",HATTIESBURG,1,323,1,1,0,1,0
"Grooms, Odell",HONOLULU,47,241,41,25,16,23,2
"Hatfield, Jeffrey",HONOLULU,409,409,339,251,88,228,23
"Hernandez, Evangelina P",HONOLULU,51,335,47,31,16,24,7
"Lee, Gary J",HONOLULU,324,328,276,221,55,197,24
"Lisewski, Nancy",HONOLULU,1,352,1,0,1,0,0
"O'Brien-Persons, Wynne",HONOLULU,22,236,19,14,5,11,3
"Shave, Janice E",HONOLULU,5,239,5,3,2,3,0
"Dowd, Mark",HOUSTON NORTH,7,356,7,7,0,7,0
"Eason, Kimani R",HOUSTON NORTH,189,217,150,54,96,38,16
"Gutierrez, David R",HOUSTON NORTH,476,476,374,179,195,170,9
"Hebert, David J",HOUSTON NORTH,378,378,289,132,157,122,10
"Helget, Thomas J",HOUSTON NORTH,424,426,352,123,229,94,29
"Henry, Patricia C",HOUSTON NORTH,365,365,275,112,163,100,12
"Howard, William B",HOUSTON NORTH,409,409,330,150,180,141,9
"Mariano-Jackson, Evange",HOUSTON NORTH,256,283,217,89,128,73,16
"Meyer, Gerald L",HOUSTON NORTH,478,478,365,167,198,145,22
"Sharp, William",HOUSTON NORTH,307,307,245,67,178,50,17
"Simmons, D'Lisa",HOUSTON NORTH,441,442,366,161,205,137,24
"Whitney, Daniel E",HOUSTON NORTH,490,490,394,125,269,84,41
"Williams, Jr., Harry L",HOUSTON NORTH,265,265,218,127,91,110,17
"Anderson, Monica J",HOUSTON-BISSONNET,309,313,199,77,122,64,13
"Beers, Caroline H",HOUSTON-BISSONNET,383,383,283,115,168,98,17
"Burdette, Robert N",HOUSTON-BISSONNET,470,470,338,156,182,144,12
"Eason, Kimani R",HOUSTON-BISSONNET,26,217,15,4,11,4,0
"Erickson, Allen G",HOUSTON-BISSONNET,372,392,276,85,191,58,27
"Gilbert, Richard A",HOUSTON-BISSONNET,421,495,329,140,189,126,14
"Lappin, Randi E",HOUSTON-BISSONNET,1,404,1,1,0,0,1
"Morris, Scott T",HOUSTON-BISSONNET,60,207,41,16,25,14,2
"Norman, Thomas G",HOUSTON-BISSONNET,158,158,134,64,70,59,5
"Soddy, Susan J",HOUSTON-BISSONNET,329,329,213,23,190,9,14
"Strong, Helen F",HOUSTON-BISSONNET,301,301,203,124,79,112,12
"Stubblefield, Ross",HOUSTON-BISSONNET,414,447,331,131,200,116,15
"Sullivan, John D",HOUSTON-BISSONNET,402,402,292,136,156,124,12
"Suttles, Gary J",HOUSTON-BISSONNET,334,359,246,67,179,30,37
"Willy, Donald J",HOUSTON-BISSONNET,492,492,378,182,196,172,10
"Bowling, Robert B",HUNTINGTON,279,283,233,62,171,50,12
"Forrest-Doyle, Mary",HUNTINGTON,33,214,24,21,3,19,2
"Hodges, Maria",HUNTINGTON,477,477,415,172,243,147,25
"Meade, Jerry",HUNTINGTON,284,284,244,110,134,105,5
"Weyn, Leslie",HUNTINGTON,28,137,19,8,11,7,1
"Brown, Belinda J",INDIANAPOLIS,296,296,241,131,110,120,11
"de la Torre, Blanca B",INDIANAPOLIS,280,280,235,138,97,123,15
"Jordan, Ronald T",INDIANAPOLIS,406,406,333,207,126,197,10
"LaPolt, Monica",INDIANAPOLIS,28,29,21,10,11,8,2
"Mages, Daniel J",INDIANAPOLIS,361,361,312,205,107,177,28
"Mastin, Jeffrey",INDIANAPOLIS,339,339,270,195,75,174,21
"Metz, John H",INDIANAPOLIS,352,352,290,200,90,181,19
"Norris, James R",INDIANAPOLIS,378,378,305,207,98,193,14
"Odell, Jody H",INDIANAPOLIS,359,359,308,143,165,137,6
"Pickett, Dennis L",INDIANAPOLIS,407,407,354,192,162,159,33
"Sorg-Graves, Kimberly",INDIANAPOLIS,389,389,319,141,178,138,3
"Thorbjornsen, Charles J",INDIANAPOLIS,43,265,34,26,8,21,5
"Velasquez, Albert J",INDIANAPOLIS,479,479,405,298,107,291,7
"Welch, David L",INDIANAPOLIS,290,290,247,189,58,175,14
"Whitfield, Gladys",INDIANAPOLIS,238,277,207,76,131,68,8
"Brand, Marilyn R",JACKSON,426,426,362,183,179,179,4
"De Gruy, Elizabeth",JACKSON,345,345,279,161,118,150,11
"Guthrie, Clarence",JACKSON,509,509,421,159,262,124,35
"Jacks, John T",JACKSON,2,2,2,1,1,1,0
"Kerstine, Edwin E",JACKSON,358,358,279,253,26,248,5
"Melvin, Patricia",JACKSON,390,390,323,114,209,98,16
"Owens, Windell R",JACKSON,327,327,262,153,109,131,22
"Rose, Willie L",JACKSON,464,464,379,187,192,162,25
"Stroud, Larry J",JACKSON,415,415,331,129,202,118,11
"Barlow, K.",JACKSONVILLE,436,436,337,167,170,150,17
"Calvarese, Stephen C",JACKSONVILLE,342,342,261,109,152,84,25
"Collins, Yelanda",JACKSONVILLE,304,329,261,185,76,157,28
"Droker, Robert",JACKSONVILLE,375,375,296,123,173,115,8
"Fitzgerald, Kelley",JACKSONVILLE,351,351,272,145,127,104,41
"Froehlich, Gregory J",JACKSONVILLE,314,314,250,79,171,52,27
"Greer, William H",JACKSONVILLE,348,348,274,119,155,108,11
"Hart, M.",JACKSONVILLE,302,302,246,100,146,49,51
"Koster, Guy",JACKSONVILLE,241,241,185,70,115,47,23
"McGarry, Teresa J",JACKSONVILLE,332,332,248,107,141,96,11
"Meisburg, Jr., John M",JACKSONVILLE,356,356,289,207,82,191,16
"Porter, Bernard",JACKSONVILLE,343,343,270,109,161,92,17
"Terry, Ken B",JACKSONVILLE,403,403,331,132,199,127,5
"Thompson, Jr., John D.",JACKSONVILLE,281,281,199,47,152,45,2
"Barr, Sheena",JERSEY CITY,304,304,235,176,59,163,13
"Catanese, Louis M",JERSEY CITY,313,349,254,128,126,116,12
"Freeman, Bernadette",JERSEY CITY,21,21,11,8,3,8,0
"Hibner, Lisa",JERSEY CITY,13,13,7,6,1,6,0
"Loewy, Dina R",JERSEY CITY,283,283,201,77,124,52,25
"McEneaney, Janet",JERSEY CITY,78,125,58,34,24,31,3
"Miller, Hilton R",JERSEY CITY,399,399,326,173,153,124,49
"Russak, Jack",JERSEY CITY,366,366,286,149,137,120,29
"Suna, David",JERSEY CITY,104,104,80,48,32,44,4
"Walters, Sheila",JERSEY CITY,307,307,240,78,162,63,15
"Artuso, Barbara",JOHNSTOWN,275,275,229,137,92,124,13
"Ball, Gary",JOHNSTOWN,9,287,9,2,7,1,1
"Casher, Geoffrey S",JOHNSTOWN,1,482,1,0,1,0,0
"Fraser, John A",JOHNSTOWN,323,323,266,95,171,79,16
"Graffius, Donald M",JOHNSTOWN,359,359,305,133,172,118,15
"Krolikowski, Suzanne",JOHNSTOWN,29,104,25,14,11,14,0
"Neary, Lawrence J",JOHNSTOWN,27,385,25,8,17,7,1
"Pillion, Marty R",JOHNSTOWN,283,283,201,126,75,121,5
"Strother, Channing",JOHNSTOWN,12,105,8,3,5,3,0
"Zadzilko, Raymond J",JOHNSTOWN,333,333,283,229,54,208,21
"Barnes-Williams, Janice E",KANSAS CITY,278,278,217,68,149,61,7
"Bock, George M",KANSAS CITY,396,396,330,117,213,100,17
"Burrichter, Michael D",KANSAS CITY,298,317,234,90,144,85,5
"Cooke, Christine A",KANSAS CITY,336,336,258,147,111,117,30
"Erickson, Diana",KANSAS CITY,357,358,281,157,124,132,25
"Gulick, Scot",KANSAS CITY,252,287,178,61,117,51,10
"Johnson, Scott",KANSAS CITY,405,421,325,122,203,115,7
"Jung, P. H",KANSAS CITY,361,361,296,136,160,125,11
"Lehr, Michael A",KANSAS CITY,383,383,305,181,124,164,17
"McCarthy, Jack D",KANSAS CITY,271,271,215,127,88,105,22
"Mein, Christina Y",KANSAS CITY,362,362,293,103,190,92,11
"Meyr, Gerald",KANSAS CITY,115,115,96,54,42,43,11
"Naggi, Mark",KANSAS CITY,305,338,248,180,68,167,13
"Souza, Raymond L",KANSAS CITY,266,271,183,115,68,113,2
"Staples, Richard N",KANSAS CITY,388,388,304,121,183,118,3
"Davenport, Michael J",KINGSPORT,500,500,446,323,123,313,10
"Howard, Charles R",KINGSPORT,438,438,391,255,136,249,6
"McFadyen, John L",KINGSPORT,389,389,327,180,147,175,5
"Pilkey, Keith C",KINGSPORT,464,464,417,294,123,277,17
"Riley, Marshall D",KINGSPORT,392,392,357,258,99,251,7
"Schwartzberg, Sherman D",KINGSPORT,450,450,375,207,168,203,4
"White, Douglas G",KINGSPORT,346,346,306,255,51,252,3
"Barker, John R",KNOXVILLE,109,109,97,75,22,72,3
"Beeby, Jim",KNOXVILLE,450,450,381,195,186,168,27
"Bowling, Edward",KNOXVILLE,335,335,275,135,140,121,14
"Burke, J. Elaine",KNOXVILLE,3,130,0,0,0,0,0
"Dixon, James",KNOXVILLE,336,336,288,144,144,130,14
"Dowd, Mark",KNOXVILLE,349,356,294,157,137,95,62
"Evans, III, George L",KNOXVILLE,269,274,214,132,82,130,2
"Grissom, K. Dickson",KNOXVILLE,320,320,266,184,82,181,3
"Heaton, Juliana P",KNOXVILLE,345,345,295,222,73,209,13
"Lawrence, Joan A",KNOXVILLE,281,281,222,110,112,102,8
"Lefebvre, Donna",KNOXVILLE,430,430,359,231,128,216,15
"Richardson, Mary E",KNOXVILLE,307,307,265,144,121,138,6
"Siegel, Mark",KNOXVILLE,308,308,243,132,111,123,9
"Spangler, Todd",KNOXVILLE,315,315,261,138,123,125,13
"Wirth, Andrea L",KNOXVILLE,200,200,151,69,82,66,3
"Ambrose, Christopher",LANSING,393,393,327,206,121,196,10
"Blatnik, Lawrence E",LANSING,359,359,303,164,139,136,28
"English, Thomas L",LANSING,113,113,98,51,47,48,3
"Jones, Paul W",LANSING,346,346,267,98,169,94,4
"Kent, James J",LANSING,398,398,318,214,104,197,17
"Rosenberg, Amy L",LANSING,335,335,278,156,122,127,29
"Walters, Thomas L",LANSING,393,393,321,191,130,160,31
"Bennett, Norman L",LAS VEGAS,441,441,353,156,197,137,19
"Colpitts, Donald R",LAS VEGAS,288,288,219,161,58,144,17
"Cusker, John",LAS VEGAS,102,261,89,45,44,34,11
"Daniels, Christopher R",LAS VEGAS,392,392,318,161,157,144,17
"Gatto, David K",LAS VEGAS,392,392,318,135,183,115,20
"Hoover, Cynthia R",LAS VEGAS,413,413,330,92,238,67,25
"Jenkins, Barry H",LAS VEGAS,374,374,302,173,129,75,98
"Vanderhoof, Gary L",LAS VEGAS,37,460,29,18,11,16,2
"Baird, Jonathan P",LAWRENCE MA,406,406,345,236,109,202,34
"Belford, Timothy",LAWRENCE MA,339,339,262,145,117,115,30
"Benson, John",LAWRENCE MA,321,321,258,120,138,82,38
"Bush, Ellen P",LAWRENCE MA,339,339,283,131,152,95,36
